SpomPPI	ScerPPI	reportsInSpom	reportsInScer	ppiType
(('SPBC16G5.10',), None)	(('YDL111C',), ('YGR158C',))	0	9	lost
(None, ('SPBC1289.03c',))	(('YER110C',), ('YLR293C',))	0	9	lost
(None, None)	(('YBR283C',), ('YDR086C',))	0	2	lost
(None, None)	(('YEL027W',), ('YEL027W',))	0	3	lost
(('SPAC22F8.08',), None)	(('YIL109C',), ('YLR268W',))	0	3	lost
(None, None)	(('YML056C',), ('YML056C',))	0	3	lost
(None, None)	(('YOL086C',), ('YOL086C',))	0	4	lost
(None, None)	(('YLR170C',), ('YPL259C',))	0	5	lost
(None, None)	(('YMR224C',), ('YMR224C',))	0	6	lost
(None, None)	(('YBL002W',), ('YNL030W',))	0	2	lost
(None, None)	(('YBL045C',), ('YEL024W',))	0	7	lost
(None, None)	(('YCL016C',), ('YHR191C',))	0	3	lost
(None, None)	(('YJL130C',), ('YJR109C',))	0	2	lost
(None, None)	(('YBR154C',), ('YOR116C',))	0	8	lost
(None, None)	(('YDL160C',), ('YNR038W',))	0	2	lost
(None, None)	(('YJL008C',), ('YJL014W',))	0	4	lost
(None, None)	(('YDL064W',), ('YDR510W',))	0	8	lost
(None, None)	(('YHR026W',), ('YOR270C',))	0	3	lost
(None, None)	(('YLR377C',), ('YLR377C',))	0	3	lost
(None, None)	(('YBR009C',), ('YDR224C',))	0	6	lost
(('SPAC630.03',), None)	(('YJR065C',), ('YKL013C',))	0	5	lost
(None, ('SPAC3A12.07',))	(('YHR143W-A',), ('YOL005C',))	0	2	lost
(None, None)	(('YDL160C',), ('YKR059W',))	0	3	lost
(None, ('SPCC584.04',))	(('YBR143C',), ('YDR172W',))	0	18	lost
(None, None)	(('YNL288W',), ('YNL288W',))	0	2	lost
(None, None)	(('YNL259C',), ('YNL259C',))	0	2	lost
(('SPAC17A5.06',), None)	(('YIL143C',), ('YKL028W',))	0	2	lost
(None, None)	(('YFR027W',), ('YFR027W',))	0	7	lost
(('SPCC584.04',), None)	(('YDR172W',), ('YPR080W',))	0	2	lost
(('SPBC11B10.09',), None)	(('YBR160W',), ('YDL155W',))	0	16	lost
(None, None)	(('YFR050C',), ('YJL001W',))	0	5	lost
(None, None)	(('YDR224C',), ('YDR225W',))	0	14	lost
(None, None)	(('YBL037W',), ('YOL062C',))	0	4	lost
(None, None)	(('YDR212W',), ('YJL111W',))	0	2	lost
(None, None)	(('YFR050C',), ('YMR314W',))	0	2	lost
(None, None)	(('YER136W',), ('YFL038C',))	0	11	lost
(('SPAC16E8.11c',), None)	(('YDR311W',), ('YER171W',))	0	9	lost
(None, None)	(('YGR121C',), ('YPR138C',))	0	2	lost
(None, None)	(('YGR262C',), ('YML036W',))	0	8	lost
(None, None)	(('YER012W',), ('YER094C',))	0	11	lost
(None, None)	(('YLR447C',), ('YMR054W',))	0	4	lost
(None, ('SPBC106.16',))	(('YML092C',), ('YOL038W',))	0	5	lost
(None, None)	(('YEL021W',), ('YEL021W',))	0	2	lost
(None, None)	(('YER086W',), ('YER086W',))	0	2	lost
(None, None)	(('YFR010W',), ('YFR010W',))	0	2	lost
(None, None)	(('YJR058C',), ('YOL062C',))	0	2	lost
(None, None)	(('YCR031C',), ('YDL166C',))	0	5	lost
(None, None)	(('YBR010W',), ('YNL030W',))	0	6	lost
(None, None)	(('YBR011C',), ('YBR011C',))	0	2	lost
(('SPCC1442.10c',), None)	(('YIL021W',), ('YOR210W',))	0	11	lost
(None, None)	(('YLR262C',), ('YOR370C',))	0	3	lost
(None, ('SPAC17A5.06',))	(('YER171W',), ('YIL143C',))	0	7	lost
(None, None)	(('YBR257W',), ('YNL221C',))	0	8	lost
(None, None)	(('YJR005W',), ('YJR058C',))	0	3	lost
(None, None)	(('YER095W',), ('YER095W',))	0	14	lost
(None, ('SPAC2F7.14c',))	(('YGR158C',), ('YHR069C',))	0	5	lost
(None, None)	(('YAL005C',), ('YKL073W',))	0	2	lost
(None, None)	(('YNL231C',), ('YNL231C',))	0	4	lost
(None, None)	(('YKR081C',), ('YOR294W',))	0	9	lost
(None, None)	(('YGL091C',), ('YGL091C',))	0	2	lost
(None, None)	(('YDR399W',), ('YDR399W',))	0	3	lost
(None, None)	(('YBL003C',), ('YBL003C',))	0	3	lost
(None, None)	(('YDR510W',), ('YDR510W',))	0	4	lost
(None, None)	(('YDR086C',), ('YLR378C',))	0	12	lost
(None, None)	(('YJL138C',), ('YJL138C',))	0	2	lost
(None, None)	(('YGR163W',), ('YML121W',))	0	9	lost
(None, None)	(('YDR190C',), ('YPL235W',))	0	21	lost
(('SPAC1250.03',), ('SPBC1604.21c',))	(None, ('YKL210W',))	2	0	lost
(None, None)	(('YJR005W',), ('YOL062C',))	0	4	lost
(None, None)	(('YDR477W',), ('YGL115W',))	0	59	lost
(None, None)	(('YBR001C',), ('YDR099W',))	0	2	lost
(None, None)	(('YEL027W',), ('YOR270C',))	0	5	lost
(None, None)	(('YDL192W',), ('YDL192W',))	0	5	lost
(None, None)	(('YBL078C',), ('YHR171W',))	0	13	lost
(None, None)	(('YJL001W',), ('YOR157C',))	0	3	lost
(None, None)	(('YKL013C',), ('YNR035C',))	0	4	lost
(None, None)	(('YKL190W',), ('YLR433C',))	0	6	lost
(None, None)	(('YLR146C',), ('YPR069C',))	0	4	lost
(None, None)	(('YDL047W',), ('YIL153W',))	0	6	lost
(None, ('SPBC336.04',))	(('YBR088C',), ('YDL102W',))	0	2	lost
(None, None)	(('YDL135C',), ('YPR165W',))	0	2	lost
(('SPAC823.15', 'SPBC16H5.07c'), None)	(('YDL134C',), ('YPL152W',))	0	3	lost
(('SPAC11H11.06',), None)	(('YDL029W',), ('YIL062C',))	0	11	lost
(None, None)	(('YHR024C',), ('YLR163C',))	0	5	lost
(None, None)	(('YDL143W',), ('YJL014W',))	0	4	lost
(None, None)	(('YJL024C',), ('YPL195W',))	0	3	lost
(('SPBC4.07c',), None)	(('YDL007W',), ('YGL048C',))	0	3	lost
(None, None)	(('YCR005C',), ('YCR005C',))	0	5	lost
(None, None)	(('YLR270W',), ('YOR173W',))	0	6	lost
(None, None)	(('YMR223W',), ('YPL047W',))	0	11	lost
(None, None)	(('YKR068C',), ('YOR115C',))	0	14	lost
(None, None)	(('YDR062W',), ('YGR038W',))	0	2	lost
(None, None)	(('YBR087W',), ('YOR217W',))	0	3	lost
(None, None)	(('YKL190W',), ('YML057W',))	0	5	lost
(('SPBC3F6.03',), None)	(('YDR353W',), ('YGR209C',))	0	3	lost
(None, None)	(('YGR104C',), ('YHR041C',))	0	13	lost
(None, None)	(('YMR318C',), ('YMR318C',))	0	2	lost
(None, None)	(('YHR143W-A',), ('YOR207C',))	0	2	lost
(('SPAC12G12.14c',), None)	(('YDR267C',), ('YHR122W',))	0	7	lost
(None, None)	(('YNL261W',), ('YPR162C',))	0	8	lost
(None, None)	(('YBL002W',), ('YDR224C',))	0	3	lost
(('SPBC16C6.07c',), None)	(('YKL145W',), ('YOR259C',))	0	9	lost
(None, None)	(('YBR009C',), ('YBR010W',))	0	13	lost
(None, None)	(('YHR187W',), ('YMR312W',))	0	7	lost
(None, None)	(('YNL307C',), ('YNL307C',))	0	2	lost
(None, None)	(('YMR202W',), ('YMR202W',))	0	2	lost
(None, None)	(('YJR068W',), ('YNL290W',))	0	11	lost
(None, None)	(('YLR432W',), ('YLR432W',))	0	4	lost
(None, None)	(('YML024W',), ('YMR116C',))	0	2	lost
(None, None)	(('YBL041W',), ('YMR314W',))	0	2	lost
(None, None)	(('YER136W',), ('YFL005W',))	0	8	lost
(None, None)	(('YNL209W',), ('YPL106C',))	0	5	lost
(('SPAC1250.01',), None)	(('YOR290C',), ('YPR034W',))	0	16	lost
(None, None)	(('YER136W',), ('YKR014C',))	0	5	lost
(None, None)	(('YFL005W',), ('YOR070C',))	0	2	lost
(None, None)	(('YGL155W',), ('YKL019W',))	0	8	lost
(None, None)	(('YGR244C',), ('YOR142W',))	0	3	lost
(None, ('SPBC428.20c',))	(('YHR172W',), ('YNL126W',))	0	19	lost
(None, None)	(('YBL045C',), ('YJL166W',))	0	4	lost
(None, None)	(('YML065W',), ('YNL261W',))	0	12	lost
(None, None)	(('YIL051C',), ('YIL051C',))	0	3	lost
(None, None)	(('YHR083W',), ('YNL026W',))	0	7	lost
(None, ('SPAC4F10.11',))	(('YGR059W',), ('YLR314C',))	0	2	lost
(None, None)	(('YKL103C',), ('YKL103C',))	0	9	lost
(None, None)	(('YPR010C',), ('YPR110C',))	0	8	lost
(None, None)	(('YBL037W',), ('YJR058C',))	0	3	lost
(None, None)	(('YLL034C',), ('YLL034C',))	0	2	lost
(None, None)	(('YOR265W',), ('YOR265W',))	0	2	lost
(None, None)	(('YCR072C',), ('YCR072C',))	0	2	lost
(None, None)	(('YCR020C-A',), ('YPR051W',))	0	4	lost
(None, None)	(('YJL155C',), ('YLR345W',))	0	3	lost
(None, None)	(('YFR050C',), ('YOR362C',))	0	5	lost
(None, None)	(('YMR120C',), ('YMR120C',))	0	2	lost
(None, None)	(('YOR004W',), ('YOR004W',))	0	3	lost
(None, None)	(('YML092C',), ('YOR157C',))	0	4	lost
(None, None)	(('YEL056W',), ('YPL001W',))	0	8	lost
(None, None)	(('YER094C',), ('YOR157C',))	0	4	lost
(None, None)	(('YDL040C',), ('YHR013C',))	0	6	lost
(('SPBC16G5.10',), None)	(('YDL111C',), ('YNL232W',))	0	12	lost
(None, None)	(('YFR053C',), ('YFR053C',))	0	2	lost
(None, ('SPAC23G3.01',))	(('YBR154C',), ('YOR151C',))	0	19	lost
(('SPAC3G9.10c',), None)	(('YGR195W',), ('YNL232W',))	0	14	lost
(None, None)	(('YDR099W',), ('YER177W',))	0	10	lost
(None, None)	(('YJR088C',), ('YKL207W',))	0	2	lost
(('SPAC821.05',), ('SPBC646.09c',))	(None, None)	2	0	lost
(None, None)	(('YBR010W',), ('YNL031C',))	0	5	lost
(None, None)	(('YJR072C',), ('YJR072C',))	0	2	lost
(('SPAC821.06',), None)	(('YCR002C',), ('YJR076C',))	0	13	lost
(None, None)	(('YPL228W',), ('YPL228W',))	0	3	lost
(None, None)	(('YGR180C',), ('YJL026W',))	0	12	lost
(None, None)	(('YOR341W',), ('YPR010C',))	0	14	lost
(None, ('SPAC29E6.08',))	(('YDR397C',), ('YER148W',))	0	5	lost
(None, ('SPAC821.12',))	(('YIL033C',), ('YJL164C',))	0	14	lost
(None, None)	(('YBR169C',), ('YNL209W',))	0	4	lost
(('SPAC29E6.08',), None)	(('YER148W',), ('YKL058W',))	0	14	lost
(None, None)	(('YGR163W',), ('YGR163W',))	0	3	lost
(None, None)	(('YBR088C',), ('YBR088C',))	0	17	lost
(None, None)	(('YIL062C',), ('YKL013C',))	0	4	lost
(None, None)	(('YJL034W',), ('YJL034W',))	0	2	lost
(None, None)	(('YKR097W',), ('YKR097W',))	0	2	lost
(None, None)	(('YMR314W',), ('YOR362C',))	0	6	lost
(('SPBC14C8.06',), None)	(('YBR234C',), ('YKL013C',))	0	6	lost
(None, None)	(('YNL104C',), ('YNL104C',))	0	2	lost
(None, ('SPAC23G3.01',))	(('YML010W',), ('YOR151C',))	0	6	lost
(None, None)	(('YMR083W',), ('YOL086C',))	0	2	lost
(None, None)	(('YGL011C',), ('YGR135W',))	0	9	lost
(None, None)	(('YLR245C',), ('YLR245C',))	0	5	lost
(None, None)	(('YBR117C',), ('YPR074C',))	0	4	lost
(None, ('SPBC14C8.12',))	(('YOR116C',), ('YOR224C',))	0	4	lost
(None, None)	(('YML065W',), ('YPR162C',))	0	15	lost
(None, None)	(('YGL011C',), ('YML092C',))	0	12	lost
(None, None)	(('YNL113W',), ('YPR110C',))	0	8	lost
(None, None)	(('YDR001C',), ('YER177W',))	0	11	lost
(None, None)	(('YBL099W',), ('YDR298C',))	0	2	lost
(None, None)	(('YIR008C',), ('YKL045W',))	0	2	lost
(None, None)	(('YPL119C',), ('YPL119C',))	0	2	lost
(None, None)	(('YDR062W',), ('YMR296C',))	0	5	lost
(None, None)	(('YLR259C',), ('YLR259C',))	0	2	lost
(None, None)	(('YKL125W',), ('YOR341W',))	0	5	lost
(None, None)	(('YCL017C',), ('YPL135W',))	0	9	lost
(('SPAC29E6.08',), None)	(('YER148W',), ('YPR086W',))	0	10	lost
(None, None)	(('YBR039W',), ('YJR121W',))	0	4	lost
(None, None)	(('YER136W',), ('YOR089C',))	0	7	lost
(None, None)	(('YHR025W',), ('YHR025W',))	0	2	lost
(None, None)	(('YBR010W',), ('YJL115W',))	0	21	lost
(None, None)	(('YOR270C',), ('YPL234C',))	0	4	lost
(None, None)	(('YHR171W',), ('YHR171W',))	0	5	lost
(None, None)	(('YKL194C',), ('YKL194C',))	0	2	lost
(('SPAC823.15', 'SPBC16H5.07c'), None)	(('YDL188C',), ('YPL152W',))	0	2	lost
(None, None)	(('YOR207C',), ('YPR110C',))	0	9	lost
(None, ('SPBC1604.21c',))	(('YDR054C',), ('YKL210W',))	0	4	lost
(None, None)	(('YNL246W',), ('YNL246W',))	0	8	lost
(None, None)	(('YAL010C',), ('YNL026W',))	0	6	lost
(None, None)	(('YBR009C',), ('YEL056W',))	0	7	lost
(None, None)	(('YOR210W',), ('YPR110C',))	0	3	lost
(('SPBC16C6.07c',), None)	(('YKL145W',), ('YOR117W',))	0	9	lost
(None, None)	(('YBR087W',), ('YJR068W',))	0	8	lost
(None, None)	(('YCR028C-A',), ('YCR028C-A',))	0	3	lost
(None, None)	(('YER136W',), ('YGL210W',))	0	4	lost
(None, None)	(('YLR188W',), ('YLR188W',))	0	3	lost
(None, None)	(('YHR111W',), ('YHR111W',))	0	5	lost
(None, None)	(('YJL148W',), ('YPR010C',))	0	4	lost
