SpomPPI	ScerPPI	reportsInSpom	reportsInScer	ppiType
(None, None)	(('YDL160C',), ('YLR276C',))	0	2	lost
(None, None)	(('YBL045C',), ('YNL052W',))	0	2	lost
(('SPAC2F7.14c',), None)	(('YHR069C',), ('YNL232W',))	0	12	lost
(None, None)	(('YBL002W',), ('YOL012C',))	0	9	lost
(('SPAC1D4.13',), ('SPAC31G5.09c',))	(None, ('YBL016W', 'YGR040W'))	4	0	lost
(None, ('SPAC23G3.01',))	(('YGL070C',), ('YOR151C',))	0	7	lost
(None, None)	(('YDL208W',), ('YLR175W',))	0	11	lost
(None, None)	(('YDR224C',), ('YOL012C',))	0	10	lost
(None, None)	(('YBR254C',), ('YKR068C',))	0	14	lost
(None, None)	(('YBL039C',), ('YJR103W',))	0	2	lost
(None, None)	(('YBL037W',), ('YJR005W',))	0	3	lost
(None, None)	(('YPR062W',), ('YPR062W',))	0	4	lost
(None, None)	(('YKL028W',), ('YKR062W',))	0	8	lost
(None, None)	(('YER166W',), ('YNL323W',))	0	6	lost
(None, None)	(('YHR129C',), ('YHR129C',))	0	2	lost
(None, ('SPBC106.16',))	(('YGR253C',), ('YOL038W',))	0	4	lost
(None, None)	(('YHR008C',), ('YHR008C',))	0	4	lost
(None, None)	(('YAL005C',), ('YPL106C',))	0	14	lost
(None, None)	(('YIL160C',), ('YIL160C',))	0	3	lost
(('SPAC17G6.12',), None)	(('YDL132W',), ('YOL133W',))	0	15	lost
(None, None)	(('YDR045C',), ('YOR207C',))	0	6	lost
(None, None)	(('YGL011C',), ('YOR362C',))	0	15	lost
(None, None)	(('YBL003C',), ('YBR010W',))	0	4	lost
(None, None)	(('YAL033W',), ('YBR167C',))	0	3	lost
(None, None)	(('YJR045C',), ('YOR232W',))	0	20	lost
(None, ('SPBC1604.21c',))	(('YGR133W',), ('YKL210W',))	0	2	lost
(None, None)	(('YGL006W',), ('YGL006W',))	0	2	lost
(None, None)	(('YBR221C',), ('YNL071W',))	0	3	lost
(None, ('SPCC31H12.07', 'SPBC776.04'))	(('YHR098C',), ('YPR181C',))	0	7	lost
(('SPAC17A5.06',), None)	(('YIL143C',), ('YKR062W',))	0	2	lost
(None, ('SPAP8A3.08',))	(('YAL029C',), ('YGL106W',))	0	3	lost
(None, None)	(('YIL033C',), ('YKL166C',))	0	8	lost
(None, None)	(('YEL030W',), ('YOR232W',))	0	2	lost
(None, None)	(('YML001W',), ('YOR370C',))	0	3	lost
(None, None)	(('YLL024C',), ('YPL106C',))	0	6	lost
(None, None)	(('YDR001C',), ('YDR099W',))	0	7	lost
(None, None)	(('YJR045C',), ('YNL209W',))	0	3	lost
(None, None)	(('YLR109W',), ('YLR109W',))	0	2	lost
(None, None)	(('YFL005W',), ('YOR370C',))	0	4	lost
(None, None)	(('YER179W',), ('YER179W',))	0	7	lost
(None, None)	(('YGR253C',), ('YML092C',))	0	4	lost
(None, None)	(('YDL229W',), ('YJR045C',))	0	2	lost
(None, None)	(('YNL113W',), ('YOR207C',))	0	7	lost
(None, None)	(('YLR270W',), ('YLR270W',))	0	3	lost
(None, None)	(('YCR092C',), ('YDR097C',))	0	2	lost
(None, None)	(('YGL115W',), ('YGL115W',))	0	2	lost
(None, None)	(('YGR003W',), ('YOL133W',))	0	3	lost
(None, None)	(('YML092C',), ('YMR314W',))	0	5	lost
(None, None)	(('YEL027W',), ('YLR447C',))	0	3	lost
(None, None)	(('YOL076W',), ('YPR131C',))	0	3	lost
(None, None)	(('YBR011C',), ('YMR267W',))	0	2	lost
(None, ('SPAC4F10.11',))	(('YJR076C',), ('YLR314C',))	0	16	lost
(None, None)	(('YIL035C',), ('YOR039W',))	0	16	lost
(None, None)	(('YOL012C',), ('YOL012C',))	0	3	lost
(None, None)	(('YBR218C',), ('YGL062W',))	0	2	lost
(None, None)	(('YNL154C',), ('YNL154C',))	0	3	lost
(None, None)	(('YAL005C',), ('YJL034W',))	0	4	lost
(None, None)	(('YNL093W',), ('YOR370C',))	0	2	lost
(None, None)	(('YLR172C',), ('YLR172C',))	0	2	lost
(None, None)	(('YDR460W',), ('YER171W',))	0	9	lost
(None, None)	(('YHR037W',), ('YHR037W',))	0	2	lost
(None, None)	(('YHR005C',), ('YOR212W',))	0	19	lost
(None, None)	(('YGR135W',), ('YOR157C',))	0	3	lost
(None, None)	(('YER023W',), ('YER023W',))	0	3	lost
(None, ('SPBC1289.03c',))	(('YGR218W',), ('YLR293C',))	0	7	lost
(None, None)	(('YBR264C',), ('YER136W',))	0	5	lost
(None, None)	(('YBR264C',), ('YOR370C',))	0	3	lost
(None, ('SPBC1289.03c',))	(('YGL238W',), ('YLR293C',))	0	9	lost
(None, None)	(('YNL142W',), ('YNL142W',))	0	3	lost
(None, None)	(('YER136W',), ('YLR262C',))	0	7	lost
(('SPAC4A8.16c',), ('SPBC646.09c',))	(('YMR309C',), None)	2	0	lost
(None, None)	(('YDL160C',), ('YOR204W',))	0	6	lost
(None, None)	(('YGL238W',), ('YNL189W',))	0	8	lost
(None, None)	(('YDL144C',), ('YDL144C',))	0	2	lost
(None, None)	(('YPL259C',), ('YPL259C',))	0	2	lost
(None, None)	(('YEL051W',), ('YGR020C',))	0	5	lost
(None, None)	(('YJL026W',), ('YJL026W',))	0	4	lost
(None, None)	(('YOR207C',), ('YOR210W',))	0	3	lost
(None, ('SPAC2C4.03c',))	(('YJR022W',), ('YLR275W',))	0	2	lost
(('SPBC1289.03c',), None)	(('YLR293C',), ('YMR308C',))	0	7	lost
(None, None)	(('YBL002W',), ('YNL031C',))	0	3	lost
(None, None)	(('YAL033W',), ('YHR062C',))	0	4	lost
(None, None)	(('YHR013C',), ('YOR253W',))	0	2	lost
(None, None)	(('YDL160C',), ('YKR024C',))	0	2	lost
(None, None)	(('YDL201W',), ('YDR165W',))	0	7	lost
(None, None)	(('YOR361C',), ('YOR361C',))	0	8	lost
(None, None)	(('YPL017C',), ('YPL017C',))	0	3	lost
(None, None)	(('YNL113W',), ('YOR116C',))	0	4	lost
(('SPAC24B11.06c',), None)	(('YLR113W',), ('YOR061W',))	0	3	lost
(('SPBC1289.03c',), None)	(('YLR293C',), ('YNL189W',))	0	2	lost
(None, ('SPAC3A12.07',))	(('YML010W',), ('YOL005C',))	0	4	lost
(None, None)	(('YDR212W',), ('YIL142W',))	0	3	lost
(None, None)	(('YFR053C',), ('YGL253W',))	0	2	lost
(None, None)	(('YDL160C',), ('YFL002C',))	0	2	lost
(None, None)	(('YGR135W',), ('YML092C',))	0	7	lost
(None, None)	(('YFR015C',), ('YLR258W',))	0	5	lost
(None, None)	(('YBL002W',), ('YBR009C',))	0	3	lost
(None, ('SPAC1250.01',))	(('YCR052W',), ('YIL126W',))	0	10	lost
(None, None)	(('YBL002W',), ('YBR010W',))	0	2	lost
(None, None)	(('YLR350W',), ('YMR296C',))	0	5	lost
(('SPBC1289.03c',), None)	(('YLR293C',), ('YOR160W',))	0	4	lost
(None, None)	(('YOR116C',), ('YOR207C',))	0	10	lost
(None, None)	(('YER042W',), ('YGR209C',))	0	2	lost
(None, None)	(('YLR292C',), ('YLR292C',))	0	2	lost
(('SPAC630.03',), None)	(('YJR065C',), ('YNR035C',))	0	5	lost
(None, ('SPBC106.16',))	(('YER012W',), ('YOL038W',))	0	17	lost
(None, None)	(('YAL026C',), ('YNL323W',))	0	3	lost
(None, None)	(('YJR103W',), ('YJR103W',))	0	2	lost
(None, None)	(('YBR154C',), ('YOR207C',))	0	8	lost
(None, None)	(('YGR158C',), ('YNL232W',))	0	13	lost
(None, None)	(('YGR181W',), ('YJR135W-A',))	0	4	lost
(None, None)	(('YMR223W',), ('YMR223W',))	0	5	lost
(None, None)	(('YBR009C',), ('YJL115W',))	0	19	lost
(None, None)	(('YBR087W',), ('YNL290W',))	0	4	lost
(None, None)	(('YDL047W',), ('YPL152W',))	0	2	lost
(None, None)	(('YOR340C',), ('YOR341W',))	0	11	lost
(None, None)	(('YIL034C',), ('YKL007W',))	0	6	lost
(None, None)	(('YCL031C',), ('YGR090W',))	0	8	lost
(None, ('SPBC1289.03c',))	(('YMR308C',), ('YOR185C',))	0	2	lost
(('SPAC17G6.12',), ('SPBC215.03c',))	(('YDL132W',), None)	2	0	lost
(None, None)	(('YER136W',), ('YML001W',))	0	7	lost
(None, None)	(('YGL246C',), ('YOR048C',))	0	10	lost
(None, None)	(('YDR188W',), ('YDR212W',))	0	3	lost
(None, None)	(('YJL034W',), ('YKL073W',))	0	5	lost
(None, None)	(('YBR088C',), ('YDR510W',))	0	4	lost
(None, None)	(('YEL056W',), ('YNL030W',))	0	5	lost
(None, None)	(('YNR017W',), ('YNR017W',))	0	5	lost
(('SPBC3E7.14',), None)	(('YDR378C',), ('YJL124C',))	0	11	lost
(None, ('SPCC1442.10c',))	(('YHR143W-A',), ('YIL021W',))	0	11	lost
(None, None)	(('YKL125W',), ('YOR340C',))	0	2	lost
(('SPCC1682.07',), None)	(('YLR005W',), ('YPR056W',))	0	9	lost
(None, None)	(('YGL019W',), ('YIL035C',))	0	14	lost
(None, ('SPBC12C2.06',))	(('YDL207W',), ('YOR046C',))	0	6	lost
(None, None)	(('YLR027C',), ('YLR027C',))	0	2	lost
(None, None)	(('YLR284C',), ('YOR180C',))	0	2	lost
(None, None)	(('YPR060C',), ('YPR060C',))	0	2	lost
(('SPBC17D1.03c',), None)	(('YCR035C',), ('YGR158C',))	0	5	lost
(None, None)	(('YNL030W',), ('YNL031C',))	0	8	lost
(None, None)	(('YBR127C',), ('YGR020C',))	0	3	lost
(None, None)	(('YGR253C',), ('YPR103W',))	0	4	lost
(None, None)	(('YPL135W',), ('YPL135W',))	0	2	lost
(('SPBC14C8.06',), None)	(('YBR234C',), ('YNR035C',))	0	7	lost
(None, None)	(('YLR369W',), ('YOR232W',))	0	3	lost
(('SPBC4.07c',), None)	(('YDL007W',), ('YOR117W',))	0	3	lost
(None, None)	(('YBL099W',), ('YBR039W',))	0	3	lost
(('SPBC4C3.07',), ('SPBC646.09c',))	(('YOR261C',), None)	2	0	lost
(('SPAPB17E12.04c',), ('SPBC215.03c',))	(None, None)	2	0	lost
(('SPAC16E8.11c',), None)	(('YDR311W',), ('YPR056W',))	0	9	lost
(None, None)	(('YJR052W',), ('YPL046C',))	0	6	lost
(None, None)	(('YER012W',), ('YPR103W',))	0	13	lost
(None, ('SPCC31H12.07', 'SPBC776.04'))	(('YPL218W',), ('YPR181C',))	0	9	lost
(None, None)	(('YHR171W',), ('YNR007C',))	0	11	lost
(None, None)	(('YER094C',), ('YML092C',))	0	4	lost
(('SPCC1442.10c',), None)	(('YIL021W',), ('YML010W',))	0	9	lost
(('SPBC106.16',), None)	(('YOL038W',), ('YPR103W',))	0	7	lost
(('SPBC13G1.13',), None)	(('YPL122C',), ('YPR056W',))	0	5	lost
(None, ('SPCC285.12',))	(('YJL124C',), ('YNL147W',))	0	10	lost
(None, None)	(('YGR253C',), ('YMR314W',))	0	2	lost
(('SPCC5E4.03c',), None)	(('YDL145C',), ('YGL137W',))	0	10	lost
(None, None)	(('YDR212W',), ('YJR064W',))	0	2	lost
(None, None)	(('YPR135W',), ('YPR135W',))	0	3	lost
(None, None)	(('YAL005C',), ('YBR169C',))	0	4	lost
(None, None)	(('YDR225W',), ('YOL012C',))	0	6	lost
(None, None)	(('YBR169C',), ('YDL229W',))	0	4	lost
(None, None)	(('YOR108W',), ('YOR108W',))	0	2	lost
(None, None)	(('YKL125W',), ('YPR010C',))	0	2	lost
(None, None)	(('YOR061W',), ('YOR061W',))	0	3	lost
(('SPAC30D11.09',), ('SPBC215.12',))	(None, ('YKL173W', 'YDR385W'))	2	0	lost
(None, None)	(('YOR204W',), ('YPL119C',))	0	2	lost
(('SPAC1071.06',), None)	(('YMR033W',), ('YPR034W',))	0	8	lost
(None, None)	(('YGL011C',), ('YJL001W',))	0	8	lost
(None, None)	(('YGR135W',), ('YMR314W',))	0	3	lost
(None, None)	(('YGL202W',), ('YGL202W',))	0	2	lost
(None, None)	(('YOL094C',), ('YOR217W',))	0	2	lost
(('SPAC17G6.12',), ('SPAPB17E12.04c',))	(('YDL132W',), None)	2	0	lost
(None, None)	(('YGR209C',), ('YLR109W',))	0	2	lost
(None, None)	(('YER027C',), ('YGL115W',))	0	8	lost
(None, None)	(('YLR028C',), ('YLR028C',))	0	2	lost
(None, None)	(('YER070W',), ('YIL066C',))	0	2	lost
(None, None)	(('YGR180C',), ('YGR180C',))	0	3	lost
(None, None)	(('YBR010W',), ('YOL012C',))	0	8	lost
(None, None)	(('YJR076C',), ('YJR076C',))	0	9	lost
(('SPBC115.01c',), None)	(('YGR095C',), ('YNL232W',))	0	16	lost
(None, None)	(('YOR232W',), ('YOR232W',))	0	3	lost
(None, None)	(('YGR063C',), ('YML010W',))	0	13	lost
(None, None)	(('YHR216W',), ('YLR432W',))	0	3	lost
(('SPBC4.07c',), None)	(('YDL007W',), ('YOR259C',))	0	3	lost
(None, None)	(('YDL135C',), ('YLR229C',))	0	4	lost
(None, None)	(('YDR075W',), ('YIL153W',))	0	3	lost
(None, None)	(('YPL259C',), ('YPR029C',))	0	4	lost
(None, None)	(('YHR135C',), ('YNL154C',))	0	2	lost
(None, None)	(('YGL040C',), ('YGL040C',))	0	2	lost
(None, None)	(('YDR298C',), ('YJR121W',))	0	7	lost
(None, ('SPBC725.13c',))	(('YDR013W',), ('YJL072C',))	0	7	lost
(('SPBC1198.13c',), None)	(('YGR005C',), ('YPR086W',))	0	2	lost
(None, None)	(('YMR116C',), ('YNL178W',))	0	6	lost
(None, None)	(('YBR135W',), ('YBR135W',))	0	2	lost
(None, None)	(('YKL135C',), ('YPR029C',))	0	8	lost
(None, None)	(('YNL189W',), ('YPL178W',))	0	5	lost
(('SPAC29A4.05',), None)	(('YBR109C',), ('YOL016C',))	0	3	lost
(None, None)	(('YKL148C',), ('YLL041C',))	0	2	lost
(None, None)	(('YPL003W',), ('YPR066W',))	0	7	lost
(None, None)	(('YHR030C',), ('YHR030C',))	0	2	lost
(('SPBC1289.03c',), None)	(('YLR293C',), ('YMR235C',))	0	3	lost
(None, None)	(('YER081W',), ('YER081W',))	0	3	lost
(None, None)	(('YDR045C',), ('YOR116C',))	0	3	lost
(None, None)	(('YER012W',), ('YGR135W',))	0	12	lost
